"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17"
"14";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo fortemente"
"15";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente"
"16";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo parcialmente";"Concordo"
"17";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo"
"18";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Não concordo nem discordo";"Concordo fortemente"
"19";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente"
"20";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Concordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente"
"21";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo";"Concordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Discordo parcialmente";"Concordo";"Concordo parcialmente"
"22";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente";"Concordo";"Discordo fortemente"
"23";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo parcialmente";"Concordo parcialmente";"Concordo";"Concordo parcialmente";"Discordo parcialmente"
"24";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Concordo parcialmente";"Discordo fortemente"
"25";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo fortemente"
"26";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo"
"27";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Concordo fortemente"
"28";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo";"Concordo fortemente"
"29";"Discordo";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Concordo";"Discordo parcialmente";"Discordo fortemente"
"30";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"31";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo"
"32";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Discordo"
"33";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Concordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Concordo fortemente";"Concordo fortemente"
"34";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo parcialmente";"Discordo parcialmente";"Discordo parcialmente";"Concordo"
"35";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente"
"36";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo";"Concordo fortemente"
"37";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo fortemente"
"38";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente"
"39";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Discordo";"Discordo"
"40";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo";"Discordo parcialmente"
"41";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente"
"42";"Discordo fortemente";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente"
"43";"Discordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
"44";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Concordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo parcialmente";"Concordo parcialmente";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente"
"45";"Discordo";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Concordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente"
"46";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente"
"47";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Concordo"
"48";"Concordo fortemente";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Concordo"
"49";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente"
"50";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo"
"51";"Concordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente"
"52";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo";"Concordo parcialmente";"Não concordo nem discordo"
"53";"Discordo";"Concordo";"Concordo";"Concordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo parcialmente";"Concordo parcialmente";"Concordo parcialmente"
"54";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Concordo fortemente";"Discordo parcialmente";"Concordo parcialmente";"Concordo fortemente"
"55";"Discordo";"Discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente";"Discordo"
"56";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Discordo";"Concordo"
"57";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente"
"58";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Concordo";"Discordo";"Não concordo nem discordo"
"59";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente";"Concordo parcialmente"
"60";"Concordo fortemente";"Concordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo parcialmente";"Discordo"
"61";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente"
"62";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Concordo parcialmente"
"63";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente"
"64";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Concordo"
"65";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"66";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Discordo";"Discordo parcialmente"
"67";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo"
"68";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo parcialmente";"Discordo";"Discordo parcialmente";"Não concordo nem discordo"
"69";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo parcialmente";"Concordo fortemente"
"70";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente"
"71";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Concordo fortemente";"Concordo parcialmente"
"72";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo"
"73";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"74";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo";"Concordo parcialmente";"Discordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente"
"75";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Discordo"
"76";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo parcialmente";"Concordo"
"77";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo parcialmente"
"78";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo";"Discordo parcialmente"
"79";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente"
"80";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Concordo";"Concordo parcialmente"
"81";"Não concordo nem discordo";"Concordo";"Concordo";"Concordo";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente";"Discordo parcialmente"
"82";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Concordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo"
"83";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente"
"84";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo";"Concordo fortemente"
"85";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente"
"86";"Discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo"
"87";"Discordo";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo parcialmente"
